artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
Jennifer Lopez;Ain't It Funny;0,707;0,869;5;-4,525;0;0,0481;0,104;0,000121;0,0813;0,621;99,825
Brandy;Another Day in Paradise - R&B-Version;0,7;0,787;6;-5,176;0;0,0327;0,00666;3,68E-05;0,0724;0,556;102,043
Nickelback;How You Remind Me;0,446;0,764;10;-5,042;1;0,033;0,00135;0;0,099;0,543;172,094
Daft Punk;One More Time;0,613;0,697;2;-8,618;1;0,133;0,0194;0;0,332;0,476;122,746
Outkast;Ms. Jackson;0,843;0,806;4;-5,946;0;0,269;0,143;0;0,0771;0,613;94,948
Fragma;Everytime You Need Me - Radio Version;0,682;0,917;11;-5,459;0;0,0318;0,15;0,0676;0,34;0,79;137,029
Mariah Carey;Loverboy;0,721;0,79;1;-4,125;1;0,124;0,183;0;0,1;0,821;103,141
Dido;Thank You;0,725;0,583;1;-9,942;0;0,0427;0,3;0,000238;0,0665;0,762;79,984
Joe;Stutter (feat. Mystikal) - Double Take Remix;0,767;0,759;6;-6,516;1;0,117;0,0513;0;0,31;0,677;89,989
P.O.D.;Youth of the Nation;0,563;0,86;8;-7,533;1;0,0621;0,00834;0,0106;0,39;0,517;97,867
Jennifer Lopez;Play;0,775;0,729;1;-4,229;0;0,162;0,0303;0,00247;0,0361;0,895;104,719
Missy Elliott;Get Ur Freak On;0,797;0,75;0;-9,369;1;0,247;0,533;0,108;0,095;0,74;177,87
Ricky Martin;Nobody Wants to Be Lonely (with Christina Aguilera);0,635;0,854;10;-5,02;0;0,0612;0,00579;0,0083;0,0623;0,59;100,851
Christina Milian;AM To PM;0,872;0,868;10;-3,036;0;0,12;0,153;2,26E-05;0,843;0,822;105,005
Roger Sanchez;Another Chance;0,61;0,82;3;-10,029;1;0,0312;0,000211;0,146;0,138;0,45;127,993
Gorillaz;Clint Eastwood;0,663;0,694;10;-8,627;0;0,171;0,0253;0;0,0698;0,525;167,953
2Pac;Until The End Of Time;0,757;0,706;8;-6,665;1;0,203;0,0267;0;0,197;0,375;96,976
Tamia;Stranger in My House;0,676;0,601;0;-4,905;1;0,0297;0,103;0;0,147;0,206;119,94
Mary J. Blige;No More Drama;0,653;0,837;6;-6,818;0;0,124;0,534;7,12E-05;0,0784;0,64;97,914
Jennifer Lopez;Love Don't Cost a Thing;0,786;0,842;4;-5,115;0;0,0707;0,00305;3,54E-06;0,473;0,685;97,577
Jamiroquai;Little L;0,878;0,724;10;-5,373;0;0,129;0,168;0,0116;0,133;0,904;121,906
Case;Missing You;0,612;0,579;1;-6,417;0;0,0553;0,285;0;0,0556;0,716;86,31
112;Peaches & Cream;0,677;0,52;4;-6,255;0;0,334;0,00277;0;0,0532;0,768;203,862
Five;Let's Dance - Radio Edit;0,631;0,821;4;-7,853;0;0,0867;0,00876;0,000247;0,293;0,547;118,007
Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];0,464;0,922;0;-8,399;1;0,0638;0,124;0,227;0,0546;0,695;129,078
Alien Ant Farm;Smooth Criminal;0,653;0,964;9;-4,261;0;0,0582;0,00316;0,00512;0,144;0,87;126,928
Erick Sermon;Music (feat. Marvin Gaye);0,897;0,466;10;-9,053;0;0,203;0,187;1,35E-06;0,0757;0,884;100,01
D12;Purple Pills;0,78;0,634;1;-5,941;1;0,16;0,0199;2,98E-05;0,29;0,754;125,25
Usher;Pop Ya Collar - Radio Edit;0,888;0,8;5;-3,944;0;0,0946;0,0901;2,12E-05;0,229;0,866;106,957
Madonna;Don't Tell Me;0,699;0,618;7;-7,338;1;0,0594;0,0502;0,000925;0,0914;0,679;99,965
Blue;If You Come Back;0,582;0,707;10;-4,487;1;0,0319;0,0822;0;0,0467;0,701;78,375
Atomic Kitten;Eternal Flame - Single Version;0,578;0,581;0;-6,867;1;0,0318;0,0658;0,0042;0,0674;0,408;83,293
Jagged Edge;Where the Party At (feat. Nelly);0,596;0,661;5;-6,239;0;0,226;0,31;0;0,0847;0,86;129,491
Afroman;Because I Got High;0,802;0,341;7;-8,56;1;0,488;0,169;0;0,0783;0,849;166,01
S Club 7;Don't Stop Movin';0,822;0,672;7;-6,133;1;0,0329;0,0285;0;0,213;0,91;117,033
Craig David;Fill Me In;0,682;0,744;8;-6,981;1;0,0365;0,376;0,00951;0,06;0,827;132,493
Nelly Furtado;Turn Off The Light;0,587;0,679;2;-6,26;1;0,0927;0,0839;0,000316;0,413;0,65;180,184
The Supermen Lovers;Starlight - Radio Edit;0,739;0,679;0;-5,079;1;0,0373;0,000424;0,0187;0,389;0,786;127,487
Mis-Teeq;All I Want - Sunship Radio Edit;0,795;0,919;9;-3,07;0;0,0835;0,37;0,00863;0,189;0,96;134,079
Jagged Edge;Promise;0,751;0,568;5;-5,431;0;0,0872;0,136;0;0,0288;0,646;128,002
S Club 7;Have You Ever;0,585;0,702;0;-5,734;1;0,0325;0,538;0;0,216;0,51;139,909
Enya;Only Time;0,418;0,249;3;-13,744;1;0,0301;0,841;0,661;0,112;0,213;82,803
Faith Hill;There You'll Be;0,321;0,511;8;-7,77;1;0,0306;0,513;0;0,127;0,17;128,98
Ronan Keating;Lovin' Each Day;0,541;0,899;1;-6,261;1;0,0633;0,0178;2,95E-06;0,286;0,829;106,676
Destiny's Child;Bootylicious;0,84;0,835;1;-4,386;0;0,275;0,00281;1,11E-06;0,152;0,637;103,376
Steps;It's the Way You Make Me Feel;0,573;0,665;8;-5,081;1;0,0239;0,108;2,09E-06;0,095;0,347;105,006
Sunshine Anderson;Heard It All Before;0,697;0,925;3;-4,209;0;0,216;0,0614;0;0,095;0,678;96,951
Lenny Kravitz;Again;0,55;0,804;2;-5,218;1;0,0271;0,0148;4,33E-05;0,105;0,789;79,166
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;0,836;0,762;7;-5,044;0;0,0598;0,0826;5,48E-05;0,102;0,941;133,592
DB Boulevard;Point Of View - Radio Edit;0,676;0,715;6;-6,854;1;0,0287;0,00284;0,0746;0,0685;0,275;129,006
Janet Jackson;All For You;0,753;0,934;2;-3,011;1;0,0736;0,0174;0,065;0,128;0,73;113,525
Atomic Kitten;Whole Again;0,747;0,706;4;-4,653;1;0,0413;0,0844;0,00355;0,174;0,567;94,019
Ja Rule;Livin' It Up;0,874;0,768;6;-4,086;1;0,311;0,0554;0;0,041;0,636;106,095
Destiny's Child;Independent Women, Pt. 1;0,73;0,602;6;-3,782;0;0,206;0,362;3,69E-06;0,169;0,927;97,954
DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;0,847;0,877;2;-5,424;1;0,0493;0,124;0;0,148;0,764;131,044
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;0,708;0,587;11;-7,93;0;0,151;0,273;0;0,0718;0,554;83,46
Musiq Soulchild;Love;0,569;0,385;1;-9,919;0;0,0499;0,342;0;0,0876;0,339;99,738
